Date,Type,Sub Type,Action,Symbol,Instrument Type,Description,Value,Quantity,Average Price,Commissions,Fees,Multiplier,Root Symbol,Underlying Symbol,Expiration Date,Strike Price,Call or Put,Order #
2024-05-09T12:17:30-0700,Trade,Sell to Close,SELL_TO_CLOSE,SPXW  240509C05210000,Equity Option,Sold 1 SPX 05/09/24 Call 5210.00 @ 3.50,350.00,1,350.00,0.00,-0.783,100,SPXW,SPX,5/09/24,5210,CALL,321882564
2024-05-09T12:16:17-0700,Trade,Buy to Close,BUY_TO_CLOSE,SPXW  240509C05185000,Equity Option,Bought 1 SPX 05/09/24 Call 5185.00 @ 25.80,"-2,580.00",1,"-2,580.00",0.00,-0.78,100,SPXW,SPX,5/09/24,5185,CALL,321881701
2024-05-09T11:35:07-0700,Trade,Buy to Open,BUY_TO_OPEN,MA    240621P00450000,Equity Option,Bought 5 MA 06/21/24 Put 450.00 @ 6.02,"-3,010.00",5,-602.00,-5.00,-0.63,100,MA,MA,6/21/24,450,PUT,321867099
2024-05-09T11:35:07-0700,Trade,Sell to Open,SELL_TO_OPEN,MA    240621P00455000,Equity Option,Sold 5 MA 06/21/24 Put 455.00 @ 7.94,"3,970.00",5,794.00,-5.00,-0.684,100,MA,MA,6/21/24,455,PUT,321867099
2024-05-09T08:06:48-0700,Trade,Sell to Close,SELL_TO_CLOSE,SPXW  240509C05210000,Equity Option,Sold 1 SPX 05/09/24 Call 5210.00 @ 5.85,585.00,1,585.00,0.00,-0.783,100,SPXW,SPX,5/09/24,5210,CALL,321796645
2024-05-09T08:06:48-0700,Trade,Buy to Close,BUY_TO_CLOSE,SPXW  240509C05185000,Equity Option,Bought 1 SPX 05/09/24 Call 5185.00 @ 24.15,"-2,415.00",1,"-2,415.00",0.00,-0.78,100,SPXW,SPX,5/09/24,5185,CALL,321796645
2024-05-09T07:31:02-0700,Trade,Sell to Close,SELL_TO_CLOSE,SPXW  240509P05160000,Equity Option,Sold 1 SPX 05/09/24 Put 5160.00 @ 0.65,65.00,1,65.00,0.00,-0.783,100,SPXW,SPX,5/09/24,5160,PUT,321774882
2024-05-09T07:31:02-0700,Trade,Buy to Close,BUY_TO_CLOSE,SPXW  240509P05185000,Equity Option,Bought 1 SPX 05/09/24 Put 5185.00 @ 3.30,-330.00,1,-330.00,0.00,-0.78,100,SPXW,SPX,5/09/24,5185,PUT,321774882
2024-05-09T07:26:09-0700,Trade,Buy to Close,BUY_TO_CLOSE,SPXW  240509P05185000,Equity Option,Bought 1 SPX 05/09/24 Put 5185.00 @ 3.72,-372.00,1,-372.00,0.00,-0.78,100,SPXW,SPX,5/09/24,5185,PUT,321772157
2024-05-09T07:26:09-0700,Trade,Sell to Close,SELL_TO_CLOSE,SPXW  240509P05160000,Equity Option,Sold 1 SPX 05/09/24 Put 5160.00 @ 0.72,72.00,1,72.00,0.00,-0.783,100,SPXW,SPX,5/09/24,5160,PUT,321772157
2024-05-09T06:57:05-0700,Trade,Sell to Close,SELL_TO_CLOSE,AAPL,Equity,Sold 81 AAPL @ 183.60,"14,871.60",81,183.60,0.00,-0.198,,,,,,,321750232
2024-05-09T06:57:05-0700,Trade,Sell to Close,SELL_TO_CLOSE,AAPL,Equity,Sold 19 AAPL @ 183.60,"3,488.40",19,183.60,0.00,-0.049,,,,,,,321750232
2024-05-09T06:36:50-0700,Trade,Sell to Open,SELL_TO_OPEN,QQQ   240515C00440000,Equity Option,Sold 1 QQQ 05/15/24 Call 440.00 @ 3.69,369.00,1,369.00,-1.00,-0.143,100,QQQ,QQQ,5/15/24,440,CALL,321731076
2024-05-09T06:36:50-0700,Trade,Sell to Open,SELL_TO_OPEN,QQQ   240515P00440000,Equity Option,Sold 1 QQQ 05/15/24 Put 440.00 @ 3.55,355.00,1,355.00,-1.00,-0.143,100,QQQ,QQQ,5/15/24,440,PUT,321731076
2024-05-09T06:36:50-0700,Trade,Buy to Open,BUY_TO_OPEN,QQQ   240515C00444000,Equity Option,Bought 1 QQQ 05/15/24 Call 444.00 @ 1.88,-188.00,1,-188.00,-1.00,-0.13,100,QQQ,QQQ,5/15/24,444,CALL,321731076
2024-05-09T06:36:50-0700,Trade,Buy to Open,BUY_TO_OPEN,QQQ   240515P00436000,Equity Option,Bought 1 QQQ 05/15/24 Put 436.00 @ 2.04,-204.00,1,-204.00,-1.00,-0.13,100,QQQ,QQQ,5/15/24,436,PUT,321731076
2024-05-09T06:36:32-0700,Trade,Buy to Close,BUY_TO_CLOSE,AAPL  240621C00170000,Equity Option,Bought 1 AAPL 06/21/24 Call 170.00 @ 14.90,"-1,490.00",1,"-1,490.00",0.00,-0.13,100,AAPL,AAPL,6/21/24,170,CALL,321730726
2024-05-09T06:34:35-0700,Trade,Buy to Open,BUY_TO_OPEN,SPXW  240509P05160000,Equity Option,Bought 1 SPX 05/09/24 Put 5160.00 @ 1.37,-137.00,1,-137.00,-1.00,-0.78,100,SPXW,SPX,5/09/24,5160,PUT,321727266
2024-05-09T06:34:35-0700,Trade,Buy to Open,BUY_TO_OPEN,SPXW  240509C05210000,Equity Option,Bought 1 SPX 05/09/24 Call 5210.00 @ 1.67,-167.00,1,-167.00,-1.00,-0.78,100,SPXW,SPX,5/09/24,5210,CALL,321727266
2024-05-09T06:34:35-0700,Trade,Sell to Open,SELL_TO_OPEN,SPXW  240509P05185000,Equity Option,Sold 1 SPX 05/09/24 Put 5185.00 @ 6.02,602.00,1,602.00,-1.00,-0.783,100,SPXW,SPX,5/09/24,5185,PUT,321727266
2024-05-09T06:34:35-0700,Trade,Sell to Open,SELL_TO_OPEN,SPXW  240509C05185000,Equity Option,Sold 1 SPX 05/09/24 Call 5185.00 @ 12.12,"1,212.00",1,"1,212.00",-1.00,-0.783,100,SPXW,SPX,5/09/24,5185,CALL,321727266
2024-05-09T06:30:19-0700,Trade,Sell to Open,SELL_TO_OPEN,SPXW  240509C05185000,Equity Option,Sold 1 SPX 05/09/24 Call 5185.00 @ 11.49,"1,149.00",1,"1,149.00",-1.00,-0.783,100,SPXW,SPX,5/09/24,5185,CALL,321722757
2024-05-09T06:30:19-0700,Trade,Sell to Open,SELL_TO_OPEN,SPXW  240509P05185000,Equity Option,Sold 1 SPX 05/09/24 Put 5185.00 @ 7.00,700.00,1,700.00,-1.00,-0.783,100,SPXW,SPX,5/09/24,5185,PUT,321722757
2024-05-09T06:30:19-0700,Trade,Buy to Open,BUY_TO_OPEN,SPXW  240509C05210000,Equity Option,Bought 1 SPX 05/09/24 Call 5210.00 @ 1.72,-172.00,1,-172.00,-1.00,-0.78,100,SPXW,SPX,5/09/24,5210,CALL,321722757
2024-05-09T06:30:19-0700,Trade,Buy to Open,BUY_TO_OPEN,SPXW  240509P05160000,Equity Option,Bought 1 SPX 05/09/24 Put 5160.00 @ 1.67,-167.00,1,-167.00,-1.00,-0.78,100,SPXW,SPX,5/09/24,5160,PUT,321722757
2024-05-08T14:00:00-0700,Receive Deliver,Dividend,BUY_TO_OPEN,TSLY,Equity,Received 11.05295 Long TSLY via Dividend,0.00,11.05295,0.00,--,0.00,,,,,,,
2024-05-08T14:00:00-0700,Money Movement,Dividend,,TSLY,Equity,TIDAL TRUST II,161.06,0,,--,0.00,,,,,,,
2024-05-08T14:00:00-0700,Money Movement,Withdrawal,,TSLY,Equity,Cash dividend reinvested info TSLY,-161.06,0,,--,0.00,,,,,,,
2024-05-08T12:46:48-0700,Trade,Sell to Open,SELL_TO_OPEN,F     240621P00012820,Equity Option,Sold 1 F 06/21/24 Put 12.82 @ 0.79,79.00,1,79.00,-1.00,-0.143,100,F,F,6/21/24,12.82,PUT,321690005
2024-05-08T12:46:48-0700,Trade,Buy to Open,BUY_TO_OPEN,F     240621P00011820,Equity Option,Bought 1 F 06/21/24 Put 11.82 @ 0.28,-28.00,1,-28.00,-1.00,-0.13,100,F,F,6/21/24,11.82,PUT,321690005
2024-05-08T09:35:35-0700,Trade,Sell to Close,SELL_TO_CLOSE,QQQ   240508C00441000,Equity Option,Sold 1 QQQ 05/08/24 Call 441.00 @ 0.27,27.00,1,27.00,0.00,-0.143,100,QQQ,QQQ,5/08/24,441,CALL,321606738
2024-05-08T09:35:35-0700,Trade,Buy to Close,BUY_TO_CLOSE,QQQ   240508C00437000,Equity Option,Bought 1 QQQ 05/08/24 Call 437.00 @ 2.80,-280.00,1,-280.00,0.00,-0.13,100,QQQ,QQQ,5/08/24,437,CALL,321606738
2024-05-08T09:35:35-0700,Trade,Buy to Close,BUY_TO_CLOSE,QQQ   240508P00437000,Equity Option,Bought 1 QQQ 05/08/24 Put 437.00 @ 0.12,-12.00,1,-12.00,0.00,-0.13,100,QQQ,QQQ,5/08/24,437,PUT,321606738
2024-05-08T09:35:35-0700,Trade,Sell to Close,SELL_TO_CLOSE,QQQ   240508P00433000,Equity Option,Sold 1 QQQ 05/08/24 Put 433.00 @ 0.01,1.00,1,1.00,0.00,-0.143,100,QQQ,QQQ,5/08/24,433,PUT,321606738
2024-05-08T07:17:56-0700,Trade,Sell to Open,SELL_TO_OPEN,QQQ   240508C00437000,Equity Option,Sold 1 QQQ 05/08/24 Call 437.00 @ 2.99,299.00,1,299.00,-1.00,-0.143,100,QQQ,QQQ,5/08/24,437,CALL,321570367
